MatrixSize,NumRanks,NumThreadsPerRank,AvgTime
10,1,1,7.51019e-06
10,1,2,1.65939e-05
10,1,5,1.97411e-05
10,1,10,2.62618e-05
10,1,20,6.21557e-05
10,2,1,4.19617e-06
10,2,2,1.26004e-05
10,2,5,1.52826e-05
10,2,10,0.00171297
10,2,20,8.08001e-05
10,5,1,3.40939e-06
10,5,2,5.25713e-06
10,5,5,0.000706506
10,5,10,0.0318953
10,5,20,0.000118101
10,10,1,2.24113e-06
10,10,2,0.000573194
10,10,5,0.0148304
10,10,10,0.0592935
10,10,20,0.000188255
100,1,1,0.00613348
100,1,2,0.00780901
100,1,5,0.00818512
100,1,10,0.00677469
100,1,20,0.00673097
100,2,1,0.0032388
100,2,2,0.00403268
100,2,5,0.005267
100,2,10,0.0100141
100,2,20,0.00557129
100,5,1,0.00125271
100,5,2,0.00220877
100,5,5,0.0109425
100,5,10,0.0440682
100,5,20,0.00469943
100,10,1,0.000716054
100,10,2,0.00176156
100,10,5,0.0213666
100,10,10,0.0656324
100,10,20,0.00313325
100,20,1,0.000937212
100,20,2,0.00374981
100,20,5,0.0527622
100,20,10,0.0975971
100,20,20,0.00108525
200,1,1,0.048366
200,1,2,0.0641005
200,1,5,0.0655089
200,1,10,0.0539162
200,1,20,0.0502433
200,2,1,0.0249876
200,2,2,0.0323435
200,2,5,0.0421659
200,2,10,0.0382271
200,2,20,0.0433463
200,5,1,0.0106463
200,5,2,0.0114703
200,5,5,0.0292313
200,5,10,0.0552236
200,5,20,0.031902
200,10,1,0.00542656
200,10,2,0.00686808
200,10,5,0.039674
200,10,10,0.0720567
200,10,20,0.0189096
200,20,1,0.00652909
200,20,2,0.017163
200,20,5,0.0551216
200,20,10,0.108993
200,20,20,0.0073698
300,1,1,0.165695
300,1,2,0.21622
300,1,5,0.218578
300,1,10,0.180352
300,1,20,0.170773
300,2,1,0.086804
300,2,2,0.103052
300,2,5,0.124489
300,2,10,0.154747
300,2,20,0.143148
300,5,1,0.0373734
300,5,2,0.067793
300,5,5,0.0792921
300,5,10,0.105935
300,5,20,0.0800728
300,10,1,0.030135
300,10,2,0.0440677
300,10,5,0.0604761
300,10,10,0.088898
300,10,20,0.0499428
300,20,1,0.0218322
300,20,2,0.0345502
300,20,5,0.0727371
300,20,10,0.126987
300,20,20,0.0348196
400,1,1,0.425379
400,1,2,0.537738
400,1,5,0.521088
400,1,10,0.441955
400,1,20,0.428067
400,2,1,0.225116
400,2,2,0.266885
400,2,5,0.304338
400,2,10,0.358423
400,2,20,0.347064
400,5,1,0.092919
400,5,2,0.134902
400,5,5,0.153379
400,5,10,0.202493
400,5,20,0.18925
400,10,1,0.057313
400,10,2,0.0967333
400,10,5,0.129942
400,10,10,0.148796
400,10,20,0.121607
400,20,1,0.0606737
400,20,2,0.0889975
400,20,5,0.118886
400,20,10,0.170377
400,20,20,0.082178
500,1,1,0.854573
500,1,2,0.998893
500,1,5,1.04184
500,1,10,0.897018
500,1,20,0.832854
500,2,1,0.445074
500,2,2,0.523855
500,2,5,0.678522
500,2,10,0.734003
500,2,20,0.684915
500,5,1,0.193827
500,5,2,0.275543
500,5,5,0.299201
500,5,10,0.389599
500,5,20,0.360538
500,10,1,0.166219
500,10,2,0.20841
500,10,5,0.238785
500,10,10,0.29123
500,10,20,0.257789
500,20,1,0.158511
500,20,2,0.201771
500,20,5,0.245188
500,20,10,0.272767
500,20,20,0.218766
600,1,1,1.44537
600,1,2,1.81012
600,1,5,1.79698
600,1,10,1.5615
600,1,20,1.43688
600,2,1,0.727805
600,2,2,0.899989
600,2,5,1.0281
600,2,10,1.2604
600,2,20,1.18682
600,5,1,0.332153
600,5,2,0.500313
600,5,5,0.569587
600,5,10,0.663505
600,5,20,0.631565
